TestFile,Answer,Prediction
coffee,90-100,0-90
coffee,90-100,90-100
coffee,0-90,0-90
coffee,0-90,90-100
coffee,90-100,90-100
coffee,0-90,90-100
coffee,0-90,0-90
coffee,0-90,0-90
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,0-90
coffee,0-90,0-90
coffee,90-100,90-100
coffee,0-90,0-90
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,0-90
coffee,0-90,0-90
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,0-90
coffee,90-100,90-100
coffee,0-90,0-90
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,0-90
coffee,0-90,0-90
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,0-90
coffee,0-90,0-90
coffee,0-90,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,0-90
coffee,0-90,0-90
coffee,90-100,90-100
coffee,90-100,0-90
coffee,0-90,90-100
coffee,90-100,90-100
coffee,0-90,0-90
coffee,0-90,90-100
coffee,0-90,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,90-100
coffee,0-90,90-100
coffee,0-90,90-100
coffee,0-90,0-90
coffee,0-90,90-100
coffee,0-90,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,0-90
coffee,0-90,90-100
coffee,0-90,90-100
coffee,90-100,0-90
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,0-90
coffee,0-90,0-90
coffee,0-90,0-90
coffee,0-90,0-90
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,90-100
coffee,90-100,90-100
coffee,0-90,0-90
coffee,0-90,0-90
coffee,0-90,0-90
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,90-100
coffee,0-90,90-100
coffee,0-90,90-100
coffee,90-100,90-100
coffee,0-90,90-100
coffee,0-90,90-100
coffee,0-90,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,0-90
coffee,90-100,90-100
coffee,0-90,0-90
coffee,0-90,0-90
coffee,0-90,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,90-100
coffee,90-100,90-100
coffee,0-90,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,0-90
coffee,0-90,0-90
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,90-100
coffee,0-90,90-100
coffee,0-90,0-90
coffee,90-100,90-100
coffee,0-90,0-90
coffee,0-90,0-90
coffee,0-90,0-90
coffee,90-100,90-100
coffee,0-90,90-100
coffee,90-100,90-100
coffee,0-90,0-90
coffee,0-90,0-90
coffee,0-90,90-100
coffee,90-100,90-100
coffee,0-90,90-100
coffee,0-90,0-90
coffee,0-90,0-90
coffee,90-100,90-100
coffee,0-90,90-100
coffee,90-100,90-100
coffee,0-90,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,90-100
coffee,90-100,90-100
coffee,0-90,0-90
coffee,0-90,90-100
coffee,90-100,90-100
coffee,0-90,0-90
coffee,90-100,90-100
coffee,0-90,0-90
coffee,0-90,0-90
coffee,90-100,90-100
coffee,0-90,90-100
coffee,0-90,0-90
coffee,90-100,90-100
coffee,0-90,0-90
coffee,0-90,0-90
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,0-90
coffee,90-100,90-100
coffee,0-90,0-90
coffee,90-100,90-100
coffee,0-90,90-100
coffee,0-90,0-90
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,0-90
coffee,0-90,0-90
coffee,90-100,90-100
coffee,0-90,90-100
coffee,90-100,90-100
coffee,0-90,90-100
coffee,0-90,90-100
coffee,0-90,0-90
coffee,0-90,90-100
coffee,90-100,90-100
coffee,0-90,0-90
coffee,90-100,90-100
coffee,0-90,0-90
coffee,0-90,0-90
coffee,90-100,90-100
coffee,0-90,0-90
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,0-90
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,0-90
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,0-90
coffee,0-90,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,0-90
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,0-90
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,90-100
coffee,0-90,0-90
coffee,0-90,0-90
coffee,0-90,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,90-100
coffee,0-90,90-100
coffee,90-100,90-100
coffee,0-90,0-90
coffee,90-100,90-100
coffee,0-90,0-90
coffee,0-90,0-90
coffee,0-90,90-100
coffee,0-90,90-100
coffee,0-90,0-90
coffee,0-90,0-90
coffee,0-90,0-90
coffee,0-90,90-100
coffee,90-100,90-100
coffee,90-100,90-100
coffee,0-90,0-90
coffee,90-100,90-100
coffee,90-100,90-100
(Accuracy)coffee,0.76
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,90-100
dishwashing,90-100,90-100
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,90-100
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,90-100
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,90-100
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,90-100
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,0-90,90-100
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,90-100,90-100
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,90-100,90-100
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,0-90,90-100
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,0-90,90-100
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,0-90,90-100
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,90-100,90-100
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,90-100
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,0-90,90-100
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,90-100
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,90-100
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,90-100
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,90-100,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,90-100
dishwashing,0-90,90-100
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,90-100,90-100
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,90-100
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,90-100
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,90-100,90-100
dishwashing,0-90,90-100
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,0-90,90-100
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,0-90,90-100
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,90-100
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,90-100
dishwashing,90-100,90-100
dishwashing,90-100,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,90-100
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,90-100
