Filename,Window,Answer,Prediction
20240408_232156_1001079449.csv,1001079449,1,1
20240408_232156_1004093917.csv,1004093917,1,1
20240408_232156_1007108390.csv,1007108390,1,1
20240408_232156_1010122874.csv,1010122874,1,1
20240408_232156_1013137374.csv,1013137374,1,1
20240408_232156_1016151858.csv,1016151858,1,1
20240408_232156_1019166333.csv,1019166333,1,1
20240408_232156_1022180815.csv,1022180815,1,1
20240408_232156_1025195295.csv,1025195295,1,1
20240408_232156_102533868.csv,102533868,1,1
20240408_232156_1028209772.csv,1028209772,1,1
20240408_232156_1031224247.csv,1031224247,1,1
20240408_232156_1034238722.csv,1034238722,1,1
20240408_232156_1037253199.csv,1037253199,1,1
20240408_232156_1040267673.csv,1040267673,1,1
20240408_232156_1043282148.csv,1043282148,1,1
20240408_232156_1046296624.csv,1046296624,1,1
20240408_232156_1049311100.csv,1049311100,1,1
20240408_232156_1052325588.csv,1052325588,1,1
20240408_232156_1055340072.csv,1055340072,1,1
20240408_232156_105548325.csv,105548325,1,1
20240408_232156_1058354550.csv,1058354550,1,1
20240408_232156_1061369027.csv,1061369027,1,1
20240408_232156_1064383507.csv,1064383507,1,1
20240408_232156_1067397984.csv,1067397984,1,1
20240408_232156_1070412455.csv,1070412455,1,1
20240408_232156_1073426916.csv,1073426916,1,1
20240408_232156_1076441389.csv,1076441389,1,1
20240408_232156_1079455864.csv,1079455864,1,1
20240408_232156_1082470356.csv,1082470356,1,1
20240408_232156_1085484844.csv,1085484844,1,1
20240408_232156_108562773.csv,108562773,1,1
20240408_232156_1088499321.csv,1088499321,1,1
20240408_232156_1091513790.csv,1091513790,1,1
20240408_232156_1094528257.csv,1094528257,1,1
20240408_232156_1097542734.csv,1097542734,1,1
20240408_232156_1100557212.csv,1100557212,1,1
20240408_232156_1103571695.csv,1103571695,1,1
20240408_232156_1106586175.csv,1106586175,1,1
20240408_232156_1109600651.csv,1109600651,1,1
20240408_232156_1112615131.csv,1112615131,1,1
20240408_232156_1115629610.csv,1115629610,1,1
20240408_232156_111577237.csv,111577237,1,1
20240408_232156_1118644088.csv,1118644088,1,1
20240408_232156_1121658562.csv,1121658562,1,1
20240408_232156_1124673039.csv,1124673039,1,1
20240408_232156_1127687516.csv,1127687516,1,1
